email,full_name,role,password
parent_02a11@school.mn,Удвал Алтан,parent,123456
parent_02a12@school.mn,Гэрэлтуяа Хонгор,parent,123456
parent_02a13@school.mn,Уянга Тайван,parent,123456
parent_02a14@school.mn,Билгүүн Эрдэм,parent,123456
parent_02a15@school.mn,Сүхбат Гэрэл,parent,123456
parent_02a16@school.mn,Номин Хас,parent,123456
parent_02a17@school.mn,Золбоо Түмэн,parent,123456
parent_02a18@school.mn,Мөнхзул Наран,parent,123456
parent_02a19@school.mn,Хишигжаргал Алтан,parent,123456
parent_02a20@school.mn,Баярсайхан Сар,parent,123456
parent_02a21@school.mn,Дөлгөөн Мөнгөн,parent,123456
parent_02a22@school.mn,Одонтуяа Тэнгэр,parent,123456
parent_02a23@school.mn,Оюун-Эрдэнэ Итгэл,parent,123456
parent_02a24@school.mn,Лхагвадорж Номун,parent,123456
parent_02a25@school.mn,Мишээл Сод,parent,123456
parent_02b01@school.mn,Билгүүн Наран,parent,123456
parent_02b02@school.mn,Алтансүх Цэцэг,parent,123456
parent_02b03@school.mn,Төгөлдөр Ухаан,parent,123456
parent_02b04@school.mn,Хүслэн Энх,parent,123456
parent_02b05@school.mn,Дөлгөөн Зам,parent,123456
parent_02b06@school.mn,Уянга Тэмүүлэл,parent,123456
parent_02b07@school.mn,Урангоо Болд,parent,123456
parent_02b08@school.mn,Оюун-Эрдэнэ Зориг,parent,123456
parent_02b09@school.mn,Энхжин Ирээдүй,parent,123456
parent_02b10@school.mn,Хонгорзул Цолмон,parent,123456
parent_02b11@school.mn,Тунгалаг Сар,parent,123456
parent_02b12@school.mn,Оюун-Эрдэнэ Сод,parent,123456
parent_02b13@school.mn,Солонго Оюун,parent,123456
parent_02b14@school.mn,Эрдэнэчимэг Очир,parent,123456
parent_02b15@school.mn,Болормаа Чимэг,parent,123456
parent_02b16@school.mn,Оюун-Эрдэнэ Очир,parent,123456
parent_02b17@school.mn,Баярсайхан Тулга,parent,123456
parent_02b18@school.mn,Цэлмэг Очир,parent,123456
parent_02b19@school.mn,Төгөлдөр Тэмүүлэл,parent,123456
parent_02b20@school.mn,Оюун-Эрдэнэ Хөгжил,parent,123456
parent_02b21@school.mn,Цэрэннадмид Тулга,parent,123456
parent_02b22@school.mn,Содном Тэмүүлэл,parent,123456
parent_02b23@school.mn,Одонтуяа Мандах,parent,123456
parent_02b24@school.mn,Тэнүүн Номун,parent,123456
parent_02b25@school.mn,Тунгалаг Итгэл,parent,123456
parent_02c01@school.mn,Түмэнжаргал Хөгжил,parent,123456
parent_02c02@school.mn,Тунгалаг Тайван,parent,123456
parent_02c03@school.mn,Тэмүүжин Сод,parent,123456
parent_02c04@school.mn,Цэлмэг Мөнх,parent,123456
parent_02c05@school.mn,Ганчимэг Илч,parent,123456
parent_02c06@school.mn,Ганчимэг Отгон,parent,123456
parent_02c07@school.mn,Эрдэнэчимэг Саруул,parent,123456
parent_02c08@school.mn,Очирбат Эрдэм,parent,123456
parent_02c09@school.mn,Хишигжаргал Тулга,parent,123456
parent_02c10@school.mn,Гэрэлмаа Отгон,parent,123456
parent_02c11@school.mn,Тунгалаг Сүх,parent,123456
parent_02c12@school.mn,Мөнгөнцэцэг Болд,parent,123456
parent_02c13@school.mn,Эрдэнэчимэг Наран,parent,123456
parent_02c14@school.mn,Пүрэвдорж Болд,parent,123456
parent_02c15@school.mn,Мишээл Энх,parent,123456
parent_02c16@school.mn,Уянга Бат,parent,123456
parent_02c17@school.mn,Хулан Гэрэл,parent,123456
parent_02c18@school.mn,Болдбаатар Эрдэнэ,parent,123456
parent_02c19@school.mn,Нарангэрэл Алтан,parent,123456
parent_02c20@school.mn,Нандин Болд,parent,123456
parent_02c21@school.mn,Нарангэрэл Хүч,parent,123456
parent_02c22@school.mn,Хулан Хишиг,parent,123456
parent_02c23@school.mn,Эрдэнэбат Гэрэл,parent,123456
parent_02c24@school.mn,Сүхбат Чимэг,parent,123456
parent_02c25@school.mn,Нямдорж Түмэн,parent,123456
parent_03a01@school.mn,Хулан Мөнх,parent,123456
parent_03a02@school.mn,Билгүүн Баяр,parent,123456
parent_03a03@school.mn,Золбоо Зориг,parent,123456
parent_03a04@school.mn,Сүхбат Баяр,parent,123456
parent_03a05@school.mn,Энэрэл Тайван,parent,123456
parent_03a06@school.mn,Эрдэнэбат Амар,parent,123456
parent_03a07@school.mn,Болдбаатар Гэрэл,parent,123456
parent_03a08@school.mn,Мөнгөнцэцэг Тайван,parent,123456
parent_03a09@school.mn,Нарангэрэл Тэмүү,parent,123456
parent_03a10@school.mn,Ганзориг Очир,parent,123456
parent_03a11@school.mn,Даваажав Саруул,parent,123456
parent_03a12@school.mn,Номин Тулга,parent,123456
parent_03a13@school.mn,Содном Тулга,parent,123456
parent_03a14@school.mn,Уянга Тэмүү,parent,123456
parent_03a15@school.mn,Мөнгөнцэцэг Эрдэм,parent,123456
parent_03a16@school.mn,Сарнай Тэнгэр,parent,123456
parent_03a17@school.mn,Хишигжаргал Дөл,parent,123456
parent_03a18@school.mn,Мөнгөнцэцэг Хүч,parent,123456
parent_03a19@school.mn,Болдбаатар Тэнгэр,parent,123456
parent_03a20@school.mn,Энхбат Цолмон,parent,123456
parent_03a21@school.mn,Энхбат Хөгжил,parent,123456
parent_03a22@school.mn,Даваажав Бат,parent,123456
parent_03a23@school.mn,Билгүүн Очир,parent,123456
parent_03a24@school.mn,Гэрэлтуяа Тайван,parent,123456
parent_03a25@school.mn,Золбоо Цолмон,parent,123456
parent_03b01@school.mn,Эрдэнэсайхан Очир,parent,123456
parent_03b02@school.mn,Тунгалаг Хүч,parent,123456
parent_03b03@school.mn,Эрдэнэбат Тэмүү,parent,123456
parent_03b04@school.mn,Анударь Бат,parent,123456
parent_03b05@school.mn,Хүслэн Дөл,parent,123456
parent_03b06@school.mn,Гантулга Ирээдүй,parent,123456
parent_03b07@school.mn,Жаргалсайхан Жаргал,parent,123456
parent_03b08@school.mn,Эрдэнэсайхан Туяа,parent,123456
parent_03b09@school.mn,Мөнхзул Болд,parent,123456
parent_03b10@school.mn,Номин Дөл,parent,123456
parent_03b11@school.mn,Энхжин Отгон,parent,123456
parent_03b12@school.mn,Тэнүүн Хишиг,parent,123456
parent_03b13@school.mn,Энхжин Сар,parent,123456
parent_03b14@school.mn,Цэлмэг Номун,parent,123456
parent_03b15@school.mn,Амаржаргал Гэрэл,parent,123456
parent_03b16@school.mn,Хонгорзул Ухаан,parent,123456
parent_03b17@school.mn,Урангоо Баяр,parent,123456
parent_03b18@school.mn,Тэмүүлэн Чимэг,parent,123456
parent_03b19@school.mn,Жавхлан Энх,parent,123456
parent_03b20@school.mn,Цэлмэг Тулга,parent,123456
parent_03b21@school.mn,Мишээл Очир,parent,123456
parent_03b22@school.mn,Содном Тэмүү,parent,123456
parent_03b23@school.mn,Отгонжаргал Саруул,parent,123456
parent_03b24@school.mn,Хишигжаргал Сар,parent,123456
parent_03b25@school.mn,Эрдэнэбат Эрдэнэ,parent,123456
parent_03c01@school.mn,Энхтүвшин Хүч,parent,123456
parent_03c02@school.mn,Төгөлдөр Тайван,parent,123456
parent_03c03@school.mn,Цэрэннадмид Тэмүү,parent,123456
parent_03c04@school.mn,Төгөлдөр Бат,parent,123456
parent_03c05@school.mn,Дөлгөөн Илч,parent,123456
parent_03c06@school.mn,Оюун-Эрдэнэ Мандах,parent,123456
parent_03c07@school.mn,Одонтуяа Сар,parent,123456
parent_03c08@school.mn,Цэрэннадмид Алтан,parent,123456
parent_03c09@school.mn,Түмэнжаргал Хас,parent,123456
parent_03c10@school.mn,Отгонбаяр Нандин,parent,123456
parent_03c11@school.mn,Тэнүүн Наран,parent,123456
parent_03c12@school.mn,Наранчимэг Хүч,parent,123456
parent_03c13@school.mn,Анударь Нандин,parent,123456
parent_03c14@school.mn,Цогтгэрэл Хишиг,parent,123456
parent_03c15@school.mn,Наранчимэг Мөнх,parent,123456
parent_03c16@school.mn,Баярмаа Дөл,parent,123456
parent_03c17@school.mn,Амин-Эрдэнэ Уянга,parent,123456
parent_03c18@school.mn,Нарангэрэл Ган,parent,123456
parent_03c19@school.mn,Гэрэлмаа Номун,parent,123456
parent_03c20@school.mn,Наранчимэг Зориг,parent,123456
parent_03c21@school.mn,Амин-Эрдэнэ Болд,parent,123456
parent_03c22@school.mn,Мишээл Хүч,parent,123456
parent_03c23@school.mn,Баярмаа Сүх,parent,123456
parent_03c24@school.mn,Номин Оргил,parent,123456
parent_03c25@school.mn,Эрдэнэбат Уянга,parent,123456
parent_04a01@school.mn,Хонгорзул Зам,parent,123456
parent_04a02@school.mn,Удвал Тулга,parent,123456
parent_04a03@school.mn,Ганзориг Ирээдүй,parent,123456
parent_04a04@school.mn,Дөлгөөн Очир,parent,123456
parent_04a05@school.mn,Амин-Эрдэнэ Ирээдүй,parent,123456
parent_04a06@school.mn,Нарангэрэл Номун,parent,123456
parent_04a07@school.mn,Шинэцэцэг Амар,parent,123456
parent_04a08@school.mn,Мөнхзул Сод,parent,123456
parent_04a09@school.mn,Удвал Илч,parent,123456
parent_04a10@school.mn,Мөнх-Оргил Хөгжил,parent,123456
parent_04a11@school.mn,Хулан Уянга,parent,123456
parent_04a12@school.mn,Жаргалсайхан Отгон,parent,123456
parent_04a13@school.mn,Эрдэнэбат Сүх,parent,123456
parent_04a14@school.mn,Энхжин Уянга,parent,123456
parent_04a15@school.mn,Амаржаргал Мөнгөн,parent,123456
parent_04a16@school.mn,Батзориг Оюун,parent,123456
parent_04a17@school.mn,Урангоо Мөнх,parent,123456
parent_04a18@school.mn,Хулан Хас,parent,123456
parent_04a19@school.mn,Гэрэлтуяа Жаргал,parent,123456
parent_04a20@school.mn,Тэмүүжин Тулга,parent,123456
parent_04a21@school.mn,Мөнхзул Нандин,parent,123456
parent_04a22@school.mn,Батзориг Оргил,parent,123456
parent_04a23@school.mn,Хишигжаргал Зам,parent,123456
parent_04a24@school.mn,Марал Сүх,parent,123456
parent_04a25@school.mn,Сарнай Ган,parent,123456
parent_04b01@school.mn,Лхагвадорж Очир,parent,123456
parent_04b02@school.mn,Анударь Чимэг,parent,123456
parent_04b03@school.mn,Болдбаатар Ирээдүй,parent,123456
parent_04b04@school.mn,Шинэцэцэг Цэцэг,parent,123456
parent_04b05@school.mn,Гантулга Энх,parent,123456
parent_04b06@school.mn,Төгөлдөр Тулга,parent,123456
parent_04b07@school.mn,Золбоо Сүх,parent,123456
parent_04b08@school.mn,Хишигжаргал Төгс,parent,123456
parent_04b09@school.mn,Лхагвадорж Итгэл,parent,123456
parent_04b10@school.mn,Наранчимэг Оргил,parent,123456
parent_04b11@school.mn,Мөнхзул Алтан,parent,123456
parent_04b12@school.mn,Золбоо Тэнгэр,parent,123456
parent_04b13@school.mn,Цэлмэг Сүх,parent,123456
parent_04b14@school.mn,Жаргалсайхан Сүх,parent,123456
parent_04b15@school.mn,Хулан Оргил,parent,123456
parent_04b16@school.mn,Удвал Чимэг,parent,123456
parent_04b17@school.mn,Батзориг Мөнгөн,parent,123456
parent_04b18@school.mn,Одонтуяа Ирээдүй,parent,123456
parent_04b19@school.mn,Сарнай Хишиг,parent,123456
parent_04b20@school.mn,Урангоо Наран,parent,123456
parent_04b21@school.mn,Хүслэн Сод,parent,123456
parent_04b22@school.mn,Урангоо Илч,parent,123456
parent_04b23@school.mn,Алтансүх Хөгжил,parent,123456
parent_04b24@school.mn,Мөнх-Оргил Нандин,parent,123456
parent_04b25@school.mn,Батцэцэг Сар,parent,123456
parent_04c01@school.mn,Энх-Амгалан Чимэг,parent,123456
parent_04c02@school.mn,Тэмүүжин Уянга,parent,123456
parent_04c03@school.mn,Золбоо Итгэл,parent,123456
parent_04c04@school.mn,Уянга Төгс,parent,123456
parent_04c05@school.mn,Гантулга Зам,parent,123456
parent_04c06@school.mn,Хишигжаргал Жаргал,parent,123456
parent_04c07@school.mn,Бат-Эрдэнэ Нандин,parent,123456
parent_04c08@school.mn,Сарнай Амар,parent,123456
parent_04c09@school.mn,Мөнгөнцэцэг Тэмүү,parent,123456
parent_04c10@school.mn,Цогтгэрэл Наран,parent,123456
parent_04c11@school.mn,Жаргалсайхан Тайван,parent,123456
parent_04c12@school.mn,Эрдэнэбат Итгэл,parent,123456
parent_04c13@school.mn,Энэрэл Чимэг,parent,123456
parent_04c14@school.mn,Эрдэнэчимэг Энх,parent,123456
parent_04c15@school.mn,Нандин Сүх,parent,123456
parent_04c16@school.mn,Идэрбат Тулга,parent,123456
parent_04c17@school.mn,Эрдэнэсайхан Нандин,parent,123456
parent_04c18@school.mn,Отгонбаяр Жаргал,parent,123456
parent_04c19@school.mn,Эрдэнэсайхан Сод,parent,123456
parent_04c20@school.mn,Хүслэн Түмэн,parent,123456
parent_04c21@school.mn,Жавхлан Туяа,parent,123456
parent_04c22@school.mn,Энхтүвшин Тэнгэр,parent,123456
parent_04c23@school.mn,Лхагвадорж Болд,parent,123456
parent_04c24@school.mn,Жавхлан Дөл,parent,123456
parent_04c25@school.mn,Гантулга Оргил,parent,123456
parent_05a01@school.mn,Идэрбат Сүх,parent,123456
parent_05a02@school.mn,Жавхлан Эрдэм,parent,123456
parent_05a03@school.mn,Отгонбаяр Хонгор,parent,123456
parent_05a04@school.mn,Хулан Мөнгөн,parent,123456
parent_05a05@school.mn,Амаржаргал Тэнгэр,parent,123456
parent_05a06@school.mn,Отгонбаяр Итгэл,parent,123456
parent_05a07@school.mn,Энхтүвшин Тэмүүлэл,parent,123456
parent_05a08@school.mn,Хишигжаргал Зориг,parent,123456
parent_05a09@school.mn,Батцэцэг Тайван,parent,123456
parent_05a10@school.mn,Батзориг Уянга,parent,123456
parent_05a11@school.mn,Оюун-Эрдэнэ Сар,parent,123456
parent_05a12@school.mn,Содном Отгон,parent,123456
parent_05a13@school.mn,Нандин Отгон,parent,123456
parent_05a14@school.mn,Баярмаа Отгон,parent,123456
parent_05a15@school.mn,Эрдэнэсайхан Шинэ,parent,123456
parent_05a16@school.mn,Амин-Эрдэнэ Зам,parent,123456
parent_05a17@school.mn,Очирбат Сод,parent,123456
parent_05a18@school.mn,Гэрэлтуяа Хас,parent,123456
parent_05a19@school.mn,Отгонжаргал Номун,parent,123456
parent_05a20@school.mn,Алтансүх Түмэн,parent,123456
parent_05a21@school.mn,Эрдэнэчимэг Дөл,parent,123456
parent_05a22@school.mn,Гэрэлтуяа Сод,parent,123456
parent_05a23@school.mn,Мөнх-Оргил Дөл,parent,123456
parent_05a24@school.mn,Баярсайхан Илч,parent,123456
parent_05a25@school.mn,Золбоо Эрдэм,parent,123456
parent_05b01@school.mn,Билгүүн Зориг,parent,123456
parent_05b02@school.mn,Наранчимэг Зам,parent,123456
parent_05b03@school.mn,Удвал Хөгжил,parent,123456
parent_05b04@school.mn,Алтансүх Уянга,parent,123456
parent_05b05@school.mn,Энх-Амгалан Мөнгөн,parent,123456
parent_05b06@school.mn,Баярмаа Хонгор,parent,123456
parent_05b07@school.mn,Хүслэн Номун,parent,123456
parent_05b08@school.mn,Шинэцэцэг Хүч,parent,123456
parent_05b09@school.mn,Сарнай Сар,parent,123456
parent_05b10@school.mn,Отгонжаргал Дөл,parent,123456
parent_05b11@school.mn,Болормаа Отгон,parent,123456
parent_05b12@school.mn,Энх-Амгалан Цолмон,parent,123456
parent_05b13@school.mn,Хишигжаргал Туяа,parent,123456
parent_05b14@school.mn,Мөнгөнцэцэг Туяа,parent,123456
parent_05b15@school.mn,Тэмүүлэн Төгс,parent,123456
parent_05b16@school.mn,Эрдэнэбат Сод,parent,123456
parent_05b17@school.mn,Гэрэлтуяа Түмэн,parent,123456
parent_05b18@school.mn,Түмэнжаргал Туяа,parent,123456
parent_05b19@school.mn,Мишээл Болд,parent,123456
parent_05b20@school.mn,Сүхбат Тэнгэр,parent,123456
parent_05b21@school.mn,Төгөлдөр Ган,parent,123456
parent_05b22@school.mn,Баярмаа Эрдэнэ,parent,123456
parent_05b23@school.mn,Гантулга Цолмон,parent,123456
parent_05b24@school.mn,Хонгорзул Саруул,parent,123456
parent_05b25@school.mn,Хулан Шинэ,parent,123456
parent_05c01@school.mn,Хонгорзул Жаргал,parent,123456
parent_05c02@school.mn,Нарангэрэл Дөл,parent,123456
parent_05c03@school.mn,Саруул Мөнгөн,parent,123456
parent_05c04@school.mn,Нямдорж Цолмон,parent,123456
parent_05c05@school.mn,Уянга Зам,parent,123456
parent_05c06@school.mn,Алтансүх Эрдэнэ,parent,123456
parent_05c07@school.mn,Тэнүүн Хөгжил,parent,123456
parent_05c08@school.mn,Отгонбаяр Тэмүү,parent,123456
parent_05c09@school.mn,Энхтүвшин Цэцэг,parent,123456
parent_05c10@school.mn,Амин-Эрдэнэ Төгс,parent,123456
parent_05c11@school.mn,Амаржаргал Сод,parent,123456
parent_05c12@school.mn,Түмэнжаргал Цэцэг,parent,123456
parent_05c13@school.mn,Наранчимэг Тайван,parent,123456
parent_05c14@school.mn,Тэнүүн Тэмүүлэл,parent,123456
parent_05c15@school.mn,Билгүүн Хас,parent,123456
parent_05c16@school.mn,Тэмүүлэн Мандах,parent,123456
parent_05c17@school.mn,Эрдэнэсайхан Баяр,parent,123456
parent_05c18@school.mn,Мөнхзул Гэрэл,parent,123456
parent_05c19@school.mn,Цэрэннадмид Наран,parent,123456
parent_05c20@school.mn,Энхтүвшин Эрдэнэ,parent,123456
parent_05c21@school.mn,Даваажав Хишиг,parent,123456
parent_05c22@school.mn,Лхагвадорж Чимэг,parent,123456
parent_05c23@school.mn,Энхбат Зам,parent,123456
parent_05c24@school.mn,Уянга Эрдэм,parent,123456
parent_05c25@school.mn,Марал Хас,parent,123456
parent_06a01@school.mn,Цогтгэрэл Чимэг,parent,123456
parent_06a02@school.mn,Уянга Зориг,parent,123456
parent_06a03@school.mn,Хүслэн Жаргал,parent,123456
parent_06a04@school.mn,Нандин Туяа,parent,123456
parent_06a05@school.mn,Идэрбат Тэмүүлэл,parent,123456
parent_06a06@school.mn,Отгонжаргал Мандах,parent,123456
parent_06a07@school.mn,Нарангэрэл Эрдэнэ,parent,123456
parent_06a08@school.mn,Сүхбат Эрдэнэ,parent,123456
parent_06a09@school.mn,Алтансүх Нандин,parent,123456
parent_06a10@school.mn,Одонтуяа Дөл,parent,123456
parent_06a11@school.mn,Гэрэлтуяа Ирээдүй,parent,123456
parent_06a12@school.mn,Болормаа Хас,parent,123456
parent_06a13@school.mn,Цэрэннадмид Сар,parent,123456
parent_06a14@school.mn,Тэмүүлэн Болд,parent,123456
parent_06a15@school.mn,Хишигжаргал Гэрэл,parent,123456
parent_06a16@school.mn,Баярмаа Сод,parent,123456
parent_06a17@school.mn,Хонгорзул Номун,parent,123456
parent_06a18@school.mn,Хулан Илч,parent,123456
parent_06a19@school.mn,Гантулга Баяр,parent,123456
parent_06a20@school.mn,Отгонбаяр Цолмон,parent,123456
parent_06a21@school.mn,Төгөлдөр Баяр,parent,123456
parent_06a22@school.mn,Лхагвадорж Оюун,parent,123456
parent_06a23@school.mn,Цэрэннадмид Хас,parent,123456
parent_06a24@school.mn,Түмэнжаргал Хонгор,parent,123456
parent_06a25@school.mn,Шинэцэцэг Тэнгэр,parent,123456
parent_06b01@school.mn,Гэрэлмаа Шинэ,parent,123456
parent_06b02@school.mn,Золбоо Бат,parent,123456
parent_06b03@school.mn,Энхжин Цолмон,parent,123456
parent_06b04@school.mn,Лхагвадорж Тэнгэр,parent,123456
parent_06b05@school.mn,Ганзориг Энх,parent,123456
parent_06b06@school.mn,Түмэнжаргал Гэрэл,parent,123456
parent_06b07@school.mn,Номин Цэцэг,parent,123456
parent_06b08@school.mn,Тунгалаг Хөгжил,parent,123456
parent_06b09@school.mn,Жаргалсайхан Цолмон,parent,123456
parent_06b10@school.mn,Түмэнжаргал Зориг,parent,123456
parent_06b11@school.mn,Анударь Хонгор,parent,123456
parent_06b12@school.mn,Очирбат Мөнгөн,parent,123456
parent_06b13@school.mn,Амин-Эрдэнэ Хөгжил,parent,123456
parent_06b14@school.mn,Бат-Эрдэнэ Очир,parent,123456
parent_06b15@school.mn,Эрдэнэчимэг Хөгжил,parent,123456
parent_06b16@school.mn,Мөнгөнцэцэг Хас,parent,123456
parent_06b17@school.mn,Идэрбат Баяр,parent,123456
parent_06b18@school.mn,Баярмаа Оюун,parent,123456
parent_06b19@school.mn,Баярмаа Нандин,parent,123456
parent_06b20@school.mn,Ганзориг Уянга,parent,123456
parent_06b21@school.mn,Гэрэлтуяа Номун,parent,123456
parent_06b22@school.mn,Мөнхзул Илч,parent,123456
parent_06b23@school.mn,Баярсайхан Тэнгэр,parent,123456
parent_06b24@school.mn,Амаржаргал Цэцэг,parent,123456
parent_06b25@school.mn,Амаржаргал Мандах,parent,123456
parent_06c01@school.mn,Мөнхзул Хишиг,parent,123456
parent_06c02@school.mn,Нарангэрэл Зориг,parent,123456
parent_06c03@school.mn,Тэмүүлэн Ирээдүй,parent,123456
parent_06c04@school.mn,Отгонбаяр Цэцэг,parent,123456
parent_06c05@school.mn,Жаргалсайхан Ган,parent,123456
parent_06c06@school.mn,Пүрэвдорж Тайван,parent,123456
parent_06c07@school.mn,Тэмүүжин Мандах,parent,123456
parent_06c08@school.mn,Батзориг Цэцэг,parent,123456
parent_06c09@school.mn,Лхагвадорж Ган,parent,123456
parent_06c10@school.mn,Отгонжаргал Амар,parent,123456
parent_06c11@school.mn,Урангоо Цэцэг,parent,123456
parent_06c12@school.mn,Жаргалсайхан Номун,parent,123456
parent_06c13@school.mn,Анударь Дөл,parent,123456
parent_06c14@school.mn,Золбоо Тэмүүлэл,parent,123456
parent_06c15@school.mn,Тэнүүн Мөнх,parent,123456
parent_06c16@school.mn,Ганзориг Хас,parent,123456
parent_06c17@school.mn,Оюун-Эрдэнэ Болд,parent,123456
parent_06c18@school.mn,Баярсайхан Ухаан,parent,123456
parent_06c19@school.mn,Цогтгэрэл Ирээдүй,parent,123456
parent_06c20@school.mn,Хулан Хонгор,parent,123456
parent_06c21@school.mn,Содном Чимэг,parent,123456
parent_06c22@school.mn,Мөнгөнцэцэг Тэмүүлэл,parent,123456
parent_06c23@school.mn,Эрдэнэбат Наран,parent,123456
parent_06c24@school.mn,Содном Баяр,parent,123456
parent_06c25@school.mn,Баярмаа Чимэг,parent,123456
parent_07a01@school.mn,Гэрэлмаа Болд,parent,123456
parent_07a02@school.mn,Гантулга Тэмүү,parent,123456
parent_07a03@school.mn,Жавхлан Илч,parent,123456
parent_07a04@school.mn,Саруул Наран,parent,123456
